Type,Titles (CIVIL SERVICE and non-civil service),Standard Titles,Area
Public Library,NMF LIBRARIAN I / NMI LIBRARIAN I BI-LINGUAL   ,Librarian I,Librarian
Public Library,NMF-LIBRARIAN I ,Librarian I,Librarian
Public Library,NMG-LIBRARIAN I PART TIME ,Librarian I,Librarian
Public Library,NMH-LIBRARIAN I PART TIME SUB.,Librarian I,Librarian
Public Library,NMI-LIBRARIAN I BILINGUAL SPANISH,Librarian I,Librarian
Public Library,NMO LIBRARIAN I BI-LINGUAL   ,Librarian I,Librarian
Public Library,NMT-LIBRARIN II PART TIME ,Librarian II,Librarian
Public Library,"NMT, NNC, NMR LIBRARIAN II   ",Librarian II,Librarian
Public Library,NNA LIBRARIAN II   ,Librarian II,Librarian
Public Library,NNA-LIBRARIAN II ,Librarian II,Librarian
Public Library,NNF-LIBRARIAN III DEPARTMENT HEAD ,Librarian III (Dept Head),Librarian
Public Library,NQF ASSISTANT LIBRARY DIRECTOR   ,Assistant Director,Library Administration
Public Library,NQK LIBRARY  DIRECTOR   ,Director,Library Administration
Public Library,NQK-LIBRARY DIRECTOR ,Director,Library Administration
Public Library,OFFICE ASSISTANT,Administrative Assistant,Support Staff
Public Library,OFFICE ASSISTANT/ LIBRARY CLERK,Administrative Assistant,Support Staff
Public Library,P/T LIBRARIAN I,Librarian I,Librarian
Public Library,P/T LIBRARY CLERK,Library Clerk,Support Staff
Public Library,page,Page,Support Staff
Public Library,PAGE,Page,Support Staff
Public Library,PAGE ,Page,Support Staff
Public Library,PAGE - PART TIME,Page,Support Staff
Public Library,PAGE (HET),Page,Support Staff
Public Library,"PAGE (HFA, HET)",Page,Support Staff
Public Library,PAGE (HFA),Page,Support Staff
Public Library,PAGE (P/T),Page,Support Staff
Public Library,PAGE (PART-TIME),Page,Support Staff
Public Library,PAGE (PT),Page,Support Staff
Public Library,PAGE (SEASONAL WORKER),Page,Support Staff
Public Library,PAGE F/T,Page,Support Staff
Public Library,PAGE P/T,Page,Support Staff
Public Library,PAGE P/T (HET),Page,Support Staff
Public Library,page trainer,Page,Support Staff
Public Library,"PAGE, P-T",Page,Support Staff
