Type,Titles (CIVIL SERVICE and non-civil service),Standard Titles,Area
Public Library,ENRICHMENT & LIBRARY SERVICES ASSISTANT,Community Services Information Assistant,Support Staff
Public Library,ENTRY LEVEL LIBRARIAN/LIBRARIAN TRAINEE,Librarian Trainee,Librarian
Public Library,FOP BUSINESS MANAGER   ,Business Manager,Library Administration
Public Library,ft clerical asst,Library Clerk,Support Staff
Public Library,ft clerk,Library Clerk,Support Staff
Public Library,ft lib asst,Library Assistant,Support Staff
Public Library,ft lib. trainee,Librarian Trainee,Librarian
Public Library,ft libs/programmers,Librarian I,Librarian
Public Library,full time clerk,Library Clerk,Support Staff
Public Library,GRAPHIC ARTIST,Graphic Artist,Marketing
Public Library,GRAPHIC MATERIALS DESIGNER,Graphic Artist,Marketing
Public Library,GROUNDSKEEPER I,Groundskeeper I,Building/Custodial Staff
Public Library,GUARD,Guard,Building/Custodial Staff
Public Library,handyman,Custodian,Building/Custodial Staff
Public Library,HEAD CLERK ,Head Clerk,Support Staff
Public Library,HEAD CUSTODIAN,Head Custodian,Building/Custodial Staff
Public Library,HEAD CUSTODIAN ,Head Custodian,Building/Custodial Staff
Public Library,HEAD CUSTODIAN (1OP),Head Custodian,Building/Custodial Staff
Public Library,HEAD CUSTODIAN I,Head Custodian,Building/Custodial Staff
Public Library,"head of adult & teen services (librarian, 2nd in command)",Librarian II (Dept Head),Librarian
Public Library,head of adult reference,Librarian II (Dept Head),Librarian
Public Library,head of adult services,Librarian II (Dept Head),Librarian
Public Library,HEAD OF BUILDINGS & GROUNDS,Head of Buildings and Grounds,Building/Custodial Staff
Public Library,head of cataloging (clerk),Head Clerk,Support Staff
Public Library,head of children's & family services,Librarian II (Dept Head),Librarian
Public Library,head of children's department,Librarian II (Dept Head),Librarian
Public Library,head of circ,Circulation Manager,Support Staff
Public Library,head of circulation (clerk),Head Clerk,Support Staff
Public Library,head of facilities,Head of Buildings and Grounds,Building/Custodial Staff
Public Library,head of patron services,Librarian II (Dept Head),Librarian
Public Library,head of public relations,Librarian II (Dept Head),Librarian
Public Library,head of youth and family services,Librarian II (Dept Head),Librarian
Public Library,head of youth services,Librarian II (Dept Head),Librarian
Public Library,HET PAGE  ,Page,Support Staff
Public Library,HET PAGE PART TIME,Page,Support Staff
Public Library,ILLUSTRATOR,Illustrator,Marketing
Public Library,ILLUSTRATOR (6KK),Illustrator,Marketing
Public Library,"INFO. TECH. SPECIALIST, P-T",Information Specialist I,Information Technology
Public Library,INFORMATION SPECIALIST I,Information Technology Aide II,Information Technology
Public Library,INFORMATION SPECIALIST I (PART-TIME),Information Technology Aide I,Information Technology
Public Library,INFORMATION TECH AIDE II,Information Specialist I,Information Technology
Public Library,INFORMATION TECH AIDE II ,Information Specialist I,Information Technology
Public Library,INFORMATION TECH. AIDE I,Information Specialist I,Information Technology
Public Library,INFORMATION TECHNOLOGY AIDE 1 (BVO)PART-TIME,Information Specialist I,Information Technology
Public Library,INFORMATION TECHNOLOGY SPECIALIST,Information Specialist I,Information Technology
Public Library,INFORMATION TECHNOLOGY SPECIALIST I (BWC),Information Specialist I,Information Technology
Public Library,IT SPECIALIST L P/T,Information Specialist I,Information Technology
Public Library,it/network administrator,Information Technology Administrator,Information Technology
Public Library,JUNIOR ACCOUNTANT,Accountant,Support Staff
Public Library,LIB  PROJ COOR,Library Project Coordinator,Support Staff
Public Library,LIB ASSISTANT ,Library Assistant,Support Staff
Public Library,lib asst,Library Assistant,Support Staff
Public Library,LIB DIRECTOR,Director,Library Administration
Public Library,LIB I ,Librarian I,Librarian
Public Library,LIB II ,Librarian II,Librarian
Public Library,LIB III ,Librarian III,Librarian
Public Library,LIB III DEPT HD,Librarian III (Dept Head),Librarian
Public Library,LIB IV ,Librarian IV,Librarian
Public Library,LIB TRAINEE,Librarian Trainee,Librarian
Public Library,lib. trainee,Library Clerk,Support Staff
Public Library,LIB/CLK TYP ,Librarian I,Librarian
Public Library,"LIBR I (PT, SUB)",Librarian I,Librarian
Public Library,LIBRARAIN TRAINEE ,Librarian Trainee,Librarian
Public Library,LIBRARIAN,Librarian I,Librarian
Public Library,librarian,Librarian I,Librarian
Public Library,librarian ,Librarian I,Librarian
Public Library,LIBRARIAN 1 (NMF),Librarian I,Librarian
Public Library,LIBRARIAN ASSISTANT,Library Assistant,Support Staff
Public Library,LIBRARIAN I,Librarian I,Librarian
Public Library,LIBRARIAN I ,Librarian I,Librarian
Public Library,LIBRARIAN I - PART TIME,Librarian I,Librarian
Public Library,LIBRARIAN I (CHILDREN'S SERVICES SPANISH SPEAKING),Librarian I,Librarian
Public Library,LIBRARIAN I (CHILDREN'S SERVICES),Librarian I,Librarian
Public Library,"LIBRARIAN I (NMF, NMH, NMG, NME)",Librarian I,Librarian
Public Library,LIBRARIAN I (NMF),Librarian I,Librarian
Public Library,LIBRARIAN I (NMG) PART TIME ,Librarian I,Librarian
Public Library,"LIBRARIAN I (PART-TIME, SUBSTITUTE)",Librarian I,Librarian
Public Library,LIBRARIAN I (PART-TIME),Librarian I,Librarian
Public Library,LIBRARIAN I (SPANISH SPEAKING),Librarian I,Librarian
Public Library,LIBRARIAN I (SUB),Librarian I,Librarian
Public Library,LIBRARIAN I COMPET.,Librarian I,Librarian
Public Library,LIBRARIAN I P/T,Librarian I,Librarian
Public Library,LIBRARIAN I P/T (BILINGUAL SPANISH) (NMO),Librarian I,Librarian
Public Library,LIBRARIAN I P/T (NME),Librarian I,Librarian
Public Library,LIBRARIAN I P/T (SUBSTITUTE) (NMH),Librarian I,Librarian
Public Library,LIBRARIAN I PT,Librarian I,Librarian
Public Library,LIBRARIAN I SUB.,Librarian I,Librarian
Public Library,"LIBRARIAN I, BILINGUAL",Librarian I,Librarian
Public Library,"LIBRARIAN I, P-T",Librarian I,Librarian
Public Library,"LIBRARIAN I, PART-TIME",Librarian I,Librarian
Public Library,"LIBRARIAN I, PART-TIME, SUBSTITUTE",Librarian I,Librarian
Public Library,LIBRARIAN II,Librarian II,Librarian
Public Library,LIBRARIAN II ,Librarian II,Librarian
Public Library,"LIBRARIAN II (NNA, NMT)",Librarian II,Librarian
Public Library,LIBRARIAN II (NNA),Librarian II,Librarian
Public Library,LIBRARIAN II / DEPARTMENT HEAD,Librarian II,Librarian
Public Library,LIBRARIAN II / NET & SYS SPEC II,Librarian II,Librarian
Public Library,LIBRARIAN II P/T (NMR),Librarian II,Librarian
