Title (civil servce title for civil service libraries),Other Title (if different than civil service title),Starting Annual Salary,Starting Hourly Rate,Part time
,Director,"130,000",,
,"Head of Adult & Teen Services (Librarian, 2nd in command)","65,000",,
,Children's Librarian,"60,000",,
,Librarian Trainee,,29,
,Library Assistant,,25,
,Head of Cataloging (Clerk),"50,000",,
,Head of Circulation (Clerk),"50,000",,
,Clerk,,20,
,Page,,16,
