TITLE,ENTRY,ONE,TWO,THREE,FOUR,FIVE,SIX,SEVEN,EIGHT,NINE,TEN,ELEVEN,TWELVE,# of Employees,Mean
CUST WKR II,44954,45853,46770,47705,48659,49632,50625,51638,52670,53724,54798,55894,57012,0.0,50983
BI-WKLY,1728.98,1763.56,1798.84,1834.81,1871.51,1908.94,1947.12,1986.06,2025.78,2066.3,2107.62,2149.77,2192.77,,1960.875
HOURLY,24.6998,25.1938,25.6976,26.2116,26.7358,27.2705,27.816,28.3723,28.9397,29.5185,30.1089,30.7111,31.3253,,28.01255
CUST WKR III,52596,53648,54721,55815,56932,58070,59232,60416,61625,62857,64114,65396,66704,1.0,59650
BI-WKLY,2022.92,2063.38,2104.65,2146.74,2189.68,2233.47,2278.14,2323.7,2370.18,2417.58,2465.93,2515.25,2565.55,,2294.235
HOURLY,28.8989,29.4769,30.0664,30.6677,31.2811,31.9067,32.5448,33.1957,33.8597,34.5369,35.2276,35.9321,36.6508,,32.77485
MAINT MECH I,75935,77454,79003,80583,82195,83839,85515,87226,88970,90749,92564,94416,96304,0.0,86119.5
BI-WKLY,2920.58,2978.99,3038.57,3099.34,3161.33,3224.56,3289.05,3354.83,3421.93,3490.37,3560.17,3631.38,3704,,3312.29
HOURLY,41.7226,42.557,43.4082,44.2763,45.1619,46.0651,46.9864,47.9261,48.8847,49.8624,50.8596,51.8768,52.9143,,47.31845
MAINT MECH II,80753,82368,84016,85696,87410,89158,90941,92760,94615,96508,98438,100406,102415,0.0,91584
BI-WKLY,3105.89,3168.01,3231.37,3296,3361.92,3429.16,3497.74,3567.69,3639.05,3711.83,3786.07,3861.79,3939.02,,3522.455
HOURLY,44.3699,45.2573,46.1624,47.0857,48.0274,48.9879,49.9677,50.9671,51.9864,53.0261,54.0867,55.1684,56.2718,,50.32085
GROUNDSKEEPER I,32834,33490,34160,34843,35540,36251,36976,37716,38470,39239,40024,40825,41641,2.0,37237.5
BI-WKLY,1262.84,1288.09,1313.86,1340.13,1366.94,1394.27,1422.16,1450.6,1479.62,1509.21,1539.39,1570.18,1601.58,,1432.21
HOURLY,18.0405,18.4013,18.7694,19.1448,19.5277,19.9182,20.3166,20.7229,21.1374,21.5601,21.9913,22.4311,22.8798,,20.46015
DRIVER MESSENGER,27522,28073,28634,29207,29791,30387,30995,31615,32247,32892,33550,34221,34905,2.0,31213.5
BI-WKLY,1058.55,1079.73,1101.32,1123.35,1145.81,1168.73,1192.1,1215.95,1240.27,1265.07,1290.37,1316.18,1342.5,,1200.525
HOURLY,15.1222,15.4247,15.7332,16.0478,16.3688,16.6961,17.0301,17.3707,17.7181,18.0724,18.4339,18.8026,19.1786,,17.1504
"LONGEVITY:  *11 THRU 15 YRS--$1,136
**16 YRS AND OVER --$1,360
***Employees hired after June 1, 1996 will receive $857 (11-15yrs) and $1071 (16 yrs & over)",,,,,,,,,,,,,,,
