Title (civil servce title for civil service libraries),Other Title (if different than civil service title),Annual Salary,Hourly Rate (Part-Time),Part-Time
Librarian 1,,61662.0,33.88,
Librarian 2,,71743.8,,
Librarian 2,,79952.6,,
Librarian 2,,,54.8,
Librarian 3,,94458.8,,
Senior Clerk,,55400.0,,
Account Clerk,,41441.4,,
Account Clerk,,,22.6,
Custodian 2,,73873.8,,
Custodian ,,,19.23,
Guard,,,28.22,
Guard,,,21.51,
Page,,,15.0,
Director,,134050.0,,
Business Manager,,83704.8,,
