Year,Library Name,Employee Number,Part time,Salary,Hourly
2024,Amityville,1,Yes,58249.0,32.0
2024,Amityville,2,No,63292.35,34.77
2024,Amityville,3,No,68454.99,37.61
2024,Amityville,4,Yes,37574.1,20.64
2024,Amityville,5,Yes,36059.74,19.81
2024,Amityville,6,Yes,32279.69,17.73
2024,Amityville,7,No,58823.02,32.32
2024,Amityville,8,Yes,17160.0,22.0
2024,Amityville,9,Yes,13650.0,15.0
2024,Amityville,10,No,95000.0,45.67
2024,Amityville,11,No,125000.0,62.5
