Year,Employee Number,Part time,Salary,Hourly
2024,1,Yes,58249.0,32.0
2024,2,Yes,63292.35,34.77
2024,3,Yes,68454.99,37.61
2024,4,Yes,37574.1,20.64
2024,5,Yes,36059.74,19.81
2024,6,Yes,32279.69,17.73
2024,7,Yes,58823.02,32.32
2024,8,Yes,17160.0,22.0
2024,9,Yes,13650.0,15.0
2024,10,Yes,95000.0,45.67
2024,11,Yes,125000.0,62.5
