Record Id,Submitted,Institution,Type (from Notes),County,Spreadsheet,Civil Service Code,Job Title,Starting Salary,Current Salary,Hours/Week,Full Time Hours,Education Required,Number of Staff Supervised (direct and indirect reports),Years of Experience,Spreadsheet Received,PT-FT
179,5/16/2024 3:47pm,Bellmore Memorial Library,Public Library,,LILRC Salary Survey 2024.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/8NlDr3kVkq6Swp_StVh_Kg/WIMHhIV0y28rXd2yFT7NxztKhJGqbxDXmuSLlIuy7EA8e3YGOPFR12qf0jUMx9aJ5pjlPFMiRhA270jYzhM7zl3Q4SggXUjb7mqwp0AofF8BqzyWyJboLeLv-Rl7oN2YBBPtejVttvslUUeq8WjZ-XvcgYaxK_sPm6jMfGk07yJ1N49cQcFa2LWEIBfQzH4y/cDHcKWjsSo2G4Zs4GBo-hynnHLHP9g2KgmI7s3yZZ8A),,,,,,,,,,,
190,5/20/2024 1:18pm,Bethpage Public Library,Public Library,,Bethpage Salary Survey 2024.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/2VbOh9x0_OurdhY_MBOecA/wXPGV2YvAt8gTcy_wwoFC5Ma5qjnEx0-zuIXLjfjPTRXElerLCrJYcEL3Qnd9BdAL9t2EZJb4fggQLxqEGqay76yr70uvbvfmliRXecNtxERWoT-2eONQhIwWLgwSeP76HEOz5J2Qxm0QuOUIea5CAotmobqBgJ-PaUxVphnlKYuv_PvT88TOSqWklkz5W9y/jLdACCt9kEwBmw4icxO8lrQpd4rk3gtNSHZruLmQwSA),,,,,,,,,,,
194,5/22/2024 11:11am,Longwood Public Library,Public Library,,Longwood Salary Survey data for LILRC 2024.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/tuboyZZ7GtXjsAPn2MVpUg/tfk6p2P8fhc8YK-g5rLg94NCAbwuRKKs7Vh1PIiqj8Av1RuKvTG7O0M8HCYxopr56G4YBf71DIWVI35A5h8taVaNQbon3ztmV9WMEEZYMpAm75Z5RsJOWodZAmqs5tYkKPk0ouc249pQuPzYPFdc7YrQYyGFLCCClOsNxl4fw1yJWtmP-bkuwx7HVbDfkqRS/4vtd267aRFgiNm7cUo9FeNVfehx58YdV4_hIwYtl8VQ),,,,,,,,,,,
195,5/22/2024 2:02pm,Island Park Public Library,Public Library,,LILRC Salary Survey.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/nWbHoxyRh9xOQ7cZ83tJ_A/25ELg-LUSMrtDmdQGrIdx1L4aZgYQGdSx-4dsJgPoSXQGTvG9-30nu0qCwoVEIXTRDOP53pKv3eatxuXAbk41vJsfy0xhEdSFsq8KbISVQAeYxoszurTOWWHioJUL-QEPxdIkuWPDl-pnGsAJDvLoMAgfZk8LJ3xSOSiYX0dvKk/sx_zSbszZN0s9uCRdUnU-dvbHnXSFBX-0YHnLlxxpSM),,,,,,,,,,,
196,5/25/2024 10:06am,Shelter Island Public Library,Public Library,,Salary Survey -Shelter Island.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/dXjytXshJCUYB1SB6wltRQ/i8RxAJb7AVp8tqTqehkT2WP3u7Ey3OqwH3ZbYx5X3kJC6suU5eyGtbhjDkaGtQk272S0fRHDflGHAZSJPw42F8mE-XlMB1BFXKlihGaO69Fget8o8qBkDm2LYPxljxn4xEBozxbyfuds8MNcvzwSfcRC0W-ZJ8F2-lel0ue8seFp6YwoWPXtMenY2AZFaIY-/VkrO8Y-i1pL55r07NmoUYanIBwGpD7SDXQFLGVNw99I),,,,,,,,,,,
207,5/28/2024 9:20am,Freeport Memorial Library,Public Library,,FML Salary Survey 2024.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/PEWxVtp55pmVNkwUiq4yhA/7Ey6AlZDzNKzjLL3Z49MMZwR58Efjt9CFWwnKesFgzOojdPLqtnLVxhnv08RlNdqQqubv5EF5GIzs_vsa6mwh1oQ76sOURn5QVeKroROVwD2quE5QFyO_Tb3MWIVudAxt4RNQWZ8lb2FWpIxfnf0siTKpaeBRM53i8hCa5RArrY/W-U-oZR2nXqy9fciS07ZwUF_NpPs3rNCNOBzcCAGCyg),,,,,,,,,,,
251,5/28/2024 11:53am,Cold Spring Harbor Library,Public Library,,Salary Survey (2).xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/PetdizUTkNt9RvoQfI1VEA/SEdHKTweT7xQo-4-3bQmG9M3G6OkTaBo_P9xRI3nwbT8k4ks_zr4K9CilluH7EvHbuLQSO77HO7gUdUYGeBBIz8CCoO45lAXEHOqWrr5g3P5OSdYtnqvCpQh2eaNjnt9bx8_K6Tz33-A4-o5j_2d3lX7rkhZZ9sTmw2Y-F4DsY0/ShAvGLq072AqOeV77kNaaCdCNDHUU5Ae9l6awAueNi8),,,,,,,,,,,
262,5/29/2024 10:35am,Hampton Bays Public Library,Public Library,,LILRC Salary Survey 2024.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/1eieuAyTy9Rj0rRDmv23hQ/RPYL6NOze82e88BBzAIOwEeBieGxQgKZotxF-bE6PSSmogeURSU-V5v0tpDvidW2StAh0_TMsq7xN0as_MusDPxI7itW_cXbyqwCRYxguk7lwlmU5cxZUD8mje_8MiRZnoRwDUEjafc03kk3-D1_01nF6pFuqoJPBHiHYRK_DcWU4U_NNYTK5ZrBiZHJFQZ4/J4LvdWoPPM8actaiY6MgLETWPqyEbu1yNaMH1C5qZD0),,,,,,,,,,,
263,5/29/2024 11:24am,Rogers Memorial Library,Public Library,,Salary Survey (1).xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/EmtFH-HUmAHFXdhET1h0fw/BOuEe803oO3IG-8Tpz7cy0lFQxj0mCknxqW84l9Oz4dtg_TGAgJRXetvJSdeBVLBK7GbscAmaIAuWZjpi1EGH4ezmv6gEBj1avAcbN-SNqJurk66N1DyjZeQRRY8O8zjTD90hQI0zUW1YbswrddnvDAhQpYSyZFlR-IIsw5-9L4/-A1ZIw-Cue2sLaWv94y78HACwVype51AsKgYV7Sy56M),,,,,,,,,,,
264,5/29/2024 1:32pm,West Babylon Public Library,Public Library,,Copy of Salary Survey.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/yErhEac7egFHI2Wgq-ZjYw/X55YPi67PsP_H2DUavDIzsop3FX90HuQjyNDP2jiVE8blRVssPaclWVheoN2ZBCap2aofR6u3ReTgoaTk6j3m-Jd9WNfvZ0h87wbBUU04DD291eVacudvWlCpu3ZyKoea0286LyGVRWNxtUzGBo7YNzsLGipTFBMrrb2vDg0QhE/-tCuhmZ46C_9g94dY_6RWEdcP6nC5SEmxWdGHzllQ08),,,,,,,,,,,
265,5/29/2024 2:01pm,Montauk Library,Public Library,,Copy of Salary Survey.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/oFcPYmy6KzI0gbIPxxl3fQ/LcZp8RpyZKC5mU3ZlRxfTzRe_3upo_dwcznZ9Gay9MgyOD1Bfdg2Tc3iuT9gcDll3cNy6slJItC_Vs3uni1V4dY0-rWUor0JhNaSuJgR5Gi0TAJZkVRzDMaFQNfIcf_9XJ6LFLhfpRgyXpTHBSBFufQ0qYxHzrDEMlgUcOIY5JY/DGcsZ3wdyRhGSujwBwecaIpA72ST_FGnj0oe1gY2JkQ),,,,,,,,,,,
266,5/29/2024 3:21pm,Westhampton Free Library,Public Library,,Copy of Salary Data 2024.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/0wwJ98fOCTAUYbao9_c0iw/gJG9cVJKhZPjm6egEmmhI1A2Uoscw2EbbHry7uWlfokWbr2QXJyEwXd29w8Ejj2Msummi2f4x9q-bfetAB17S6LmT_JwtNMrbVCVyv5V3z_Cd19yLKXKzb16U3otklzTn2cSoeE7pQbmYK32IHfVVoMJ4iQDRbjyCzNZ9AtJGw0/GL2y06aP6jVSSkQfDE-83CoW9FRKurzexjHhkG7iaC8),,,,,,,,,,,
267,5/29/2024 3:30pm,Sea Cliff Village Library,Public Library,,Salary Survey Sea Cliff Village Library.pdf (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/GK6wXCUb-Xq52iflB3suaQ/xrj3aYCEtYKwWVwmFvWfyAx7CFlqgO_L3fj7ld91EAEEj3h2h3jsO3wkXI6Yx3VjO5iK8GTR0zfZD0AEw-kuzWT0q114L-1IkNOzh8Hcg42vC2WKopG32DfqiMrfra5qlRPtYmEme_i56-2ZRUAM1FHcu6f5y0gyzrlkrKKC-KYQ_ZKueA4_byQjuEpx2l9V/zK0blZpLD5dFtb9da1tzn-O866sU76To2ND903pU4PQ),,,,,,,,,,,
268,5/29/2024 4:16pm,Hampton Library in Bridgehampton,Public Library,,Salary Survey 2024.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/z_cWAcctUZiY8ko7nshseA/f8hjhlv3kfRlD_CA9szujPxfYU7puUo6C1ChOgpS-Apx567mbx_0bSY5mJPxwJmyWYrMGnY09VSiufg0fl_WEmJVaOhCJX2ElW_7tgIJPInqUegJMZMMKfks6JgrpP9VuwOI2ct0VGHm_t1GtFqHc8t9g_jNccN14DIth6k9QB8/SblVvDSltZo5UkqFlW2F2GbZRXd5LIDoX00LrGjc6KA),,,,,,,,,,,
269,5/29/2024 4:26pm,Amagansett Free Library,Public Library,,Copy of Salary Data 2024 - public_libraries.csv (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/j94O1_e1gzDrGRGowDuqGg/DE2mjJRc-3yDE5M84fOh7KGc-2zz2DO6DS0g14YnFOERRlL76FoS9mN6U7j5EvOIjKvJJ2JWZpd0HIbweFnBPx6LcFxDdnroJrElmD2-JjSd1GOfdVq7wCcedQvL_Kddl9eHs1Y7MV0jNlmyGUsp8oh2IK0rSkTqeZlKv8DD1UGvIeS2LgWdLJx2rczrFztD/T75n1CM0JVsLgrZXN4qLAtLW881x8UNMgUnUJ61PH68),,,,,,,,,,,
273,5/31/2024 10:31am,Middle Country Public Library,Public Library,,Salary Data 2024.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/QJMI6q_gBZIaEe8_a9cFPg/qQL20QWZDEO2qre3S28h_q0z8r4lAswf9H3l5CmquAtFj1V8_yi9n_-9Rp_4erbDk-Tfjdwkm-Fd2MZXs984GK86aV0ZG0Qoh6bNsTgaP3kjSHWyiDqQB_bLoBLFMIOYmhMGzJhgSSo7xwoef4QK0VdsY2lmitHJ224AuliL3iM/b9HmMXxAaRo8wFX5opGpxUXusJsUT27X0_8sDo6JKsk),,,,,,,,,,,
274,5/31/2024 10:55am,East Islip Public Library,Public Library,,Salary Survey COMPLETE.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/LK6Y3MjzPggm6gbvBv4WiA/FQ9J72eRBUQ0O_pZH9J2lXys_ob5WRL3FrRSRNXpiqhMKYqYWJEYRBET1ttAJ4JsQ5b7vG-qftUcBzRKYyV3yhwW7oMQEkTeCTRal7Z6C_MQCvP82oEsj6qvydada91tO5xJyrTjc8Zmou7qZuzSk0wAPnGCizaVUhjDBTFdu9Y/Kn1wrFD3GvhUDlNL2H-_WuQnsRXEs_fH22d5yTM3buA),,,,,,,,,,,
275,5/31/2024 11:31am,Rockville Centre Public Library,Public Library,,Salary Data 2024.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/ae4Yv0O4KBDOJ3fdrFgJuw/QQs4myVsmEcMJXhFN7D_fGH2rMK4lki60YaS6Ue75uBYL547c5_YuogIb1h_-8f6h5YlOF1SFh77N9yzS7VldHNCT5UgeTvdFVOXbadmsqqTsQeCKYN1Rd2Z-SgmLsE4UiKYsRWfhJJ8OLsN6yvVg4MXN9Xhuii1ZhQ4nKAR9vs/0zvuKQrBlNRXP4iiwU2wJmjwFiSW8Tk95JLswK7iX3c),,,,,,,,,,,
276,5/31/2024 4:06pm,Mastics - Moriches - Shirley Community Library,Public Library,,2024  LI Public Library Directors Salary Chart.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/oiQySieaPhoATZz_p5SNgg/y-rW_o8vzSmE50IQAuakvTd2p242gBAmPyA9n5GASJe2GlWDGbL_mCC9L56KhvO-g9VLZC9odmJu79Fm3pgc-7XihON0k6RJLI5w5W2NJqmNduo2HNdJNAn1crAgvULl36W02GtdYuMilzTensi99qEuFSOQixvj4o4mCRAY1-ArxUw1S25tcC509tfOCVX_pBkbn54iSStntzCpAEbJGQ/gg6K5KGgCdJT5zqkBL1MIhCXh58FBC0f5WOX0qtsxZg),,,,,,,,,,,
277,5/31/2024 4:56pm,Lindenhurst Memorial Library,Public Library,,Salary Data 2024.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/-OprcNceLosVRUvBxPVx7A/hTsgYHW9ujaGlQzEc-H-F4HC9cWlW69Jm8EiU1bxUPpJOSa7e760JraPjqbK8DQu8QZUQzCBC6nwBp4DEPpfIrtiDahJm37T7Mv5DNMCUCKLvDrWTgmUPJJTDI1LjrANmHlD2cJq79FD1Wiyc3gH89Hd_77or_FcQBpxwjp1W4Y/Qj3xvRhXKii-tAXSqmMf5ZZSuwwVYdgDGx_AtKQIYrE),,,,,,,,,,,
278,6/4/2024 12:29pm,Deer Park Public Library,Public Library,,LILRC Salary Survey.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/5aMjgCapXMKzoMwYcyFInw/mK5TUBU5V0EKPBs0qHxNe2KQR6ffrpzFx7FK8g9VkqrOw1Gq3QMcEaj8CoBnGgK1qBTDWNEnHNf6tfj3NxH8JjRQYEM1erTPljd9AfAQrLtk0hW2Y-DlaTDQqDpDuFjJyYBazhU7C4b0rGg3FTLHv2wAkMBKzAjFHOYpiSs7WxQ/fq4-9zVOwG_clPfA8sO0CW1g1tAud4K0xr9LMsTuaIU),,,,,,,,,,,
279,6/4/2024 2:55pm,North Bellmore Public Library,Public Library,,Salary Data 2024.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/AgQnHC_XkJkoLtzuGb9bmQ/_PgHoUmf4tdV66JqvtzzvXUyA2Bi9Via4SPRROiK5ztDwFpVJ3Hu42dSvE5ZgWxuIeI1OeaxbfNsXhchpozg6HMJ2ghSJ5rPal5cVbzgynWuNVoTVARSIeQQMEIuNA2F-2U94fC1jM1VcaXZKquk4Vbq_6h97_eiw6NoKkTCW1I/aalnNH6nQTmcniJ-WWcyNufWzCBhKw-DPJ-6Axzm-b8),,,,,,,,,,,
280,6/4/2024 2:57pm,Riverhead Free Library,Public Library,,RFL salary data 2024.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/5LM41U-3EXR3WP8JP67P0Q/awcrnuLzlP0UfIrJUFqoO8y79HuJqtSSHlQsEv9b7hQ8Q0sepCmIR_IP8nfGQdb_gNSRa2Nb9eFh2TfiZvR2GLZc_-VlgB9yyBszSUIeHI_-NPvxluFqb_amp2C6BuZLfdM8H_HoJMHUsq5fEZt_ALMPtiqtlBXbGWsygHutU84/0j48SnGA65SUzpcEHtjrXBfTqXG3qZflehe4zaUVZmo),,,,,,,,,,,
281,6/5/2024 4:06pm,Bay Shore - Brightwaters Public Library,Public Library,,LILRC Survey.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/O5w_xcftHRzdmyQhuM_2Iw/PaTfXTIZjSqBpWsFehNIBZ1DRWBSg67TXJGRgNKYHwGL6QOF144w7YJSjcf30SbaHwH0uV-m0M1n9npA42oxwZDbIX5fiT6xhIjzZIcrpWbnfqJHUhyyHXV2qtNSxhg5p6S602n2CjzwK4FWWWARsycB-7do9wzQb7ygNTfw-3c/UvYR2xeirs77wS4oEfv1OL1OwAyKwMMfvWF6liIyaJU),,,,,,,,,,,
282,6/6/2024 1:26pm,Shelter Rock Public Library,Public Library,,LILRC Salary Data 2024 (1).xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/fTYRKHxCKcX_7S8JURRwgQ/IPKCmeI8rISXsjSYPuEU7WILpEn2K6kP3HEohtLC8rs4Cx1CygncoI72IX0JMMpLz2Gt8AAAjwqlrpMZhCB1MAMNQ1phb32Lj1PlhIXznd2zJEaHgOMVzA9Ap2qLnIlZoHyNjroLHjXHMET8GsxTkhyftGLU-WZabf60zLtwgtU/9YqgKlndDmN4-07YopjhYCuGJUQJtNenfOFDq58m0wU),,,,,,,,,,,
283,6/6/2024 3:49pm,Baldwin Public Library,Public Library,,Salary Survey  LILRC LETTER DATED 052124.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/U5G2fH45CumobRlVUgFJHQ/5ZvgARFOhcCl9ukKpjFld0bZsIBGMx3IfC7gDw0RD0jIYnJ7g0yIaMejtTiLD_-JwSLUaDFb0PhFh3-pFKqTOpkD-gSfF77KhuYps-MGfONGw3_KfbjyUbCgRW4WwjrSklKAXWtqqDJApKYHuvUh-_DOWKafC5ZZyUO8VKrQQnIUqZFmC1MADlLdHPgz3pU7/M6Mf9KV5F_95WgoEzOuujcfrz_JWxdLzBGEwiB26kB8),,,,,,,,,,,
284,6/7/2024 12:18pm,Shelter Rock Public Library,Public Library,,LILRC Salary Data 2024 (1).xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/IosWB0oy_6N36Ax15OwEjQ/AJl3PO4BCBT70cX3M0-YwE-LXeptUrt1k5vd2GGk0U7iAE7glO7R7KzwDO_6Xxav3EYror2V9n2n9K5xAxBiM-BbrmiTpn6ENoKeJw69EjRyK6ciXdR7ySasGRN-Uj0Ntc3SEZtyAMrarEoGkyoalPSbGYVKUtQ-d_g2PRS8k5o/djzy5BQDQ9ev8XU0GasI4f2liTQ-HMFVqbEK2vHmV6c),,,,,,,,,,,
187,5/20/2024 10:41am,Cold Spring Harbor Laboratory,Special Library,,,,Electronic Resources Librarain,,"$64,215.36 ",40,8,MLIS,0,,,
192,5/20/2024 4:37pm,Cold Spring Harbor Laboratory,Special Library,,,,Librarian ,,"$67,585.00 ",35,35,MLIS,0,,,
258,5/28/2024 3:08pm,Nassau County Supreme Court Library,Special Library,,,,Principal Law Librarian,,"$150,919.00 ",40,40,"Other Masters,MLIS",2,,,
