Record Id,Submitted,Institution,Type (from Notes),County,Spreadsheet,Civil Service Code,Job Title,Starting Salary,Current Salary,Hours/Week,Full Time Hours,Education Required,Number of Staff Supervised (direct and indirect reports),Years of Experience,Spreadsheet Received,PT-FT
209,5/28/2024 9:42am,Suffolk Cooperative Library System,Library System,,,,Librarian II,,"$85,424.00 ",35,35,MLIS,2,,,
210,5/28/2024 9:42am,Suffolk Cooperative Library System,Library System,,,,Librarian I,,"$86,089.00 ",35,35,MLIS,0,,,
211,5/28/2024 9:43am,Suffolk Cooperative Library System,Library System,,,,Librarian II,,"$83,097.00 ",35,35,MLIS,5,,,
212,5/28/2024 9:45am,Suffolk Cooperative Library System,Library System,,,,Librarian III,,"$113,229.00 ",35,35,MLIS,12,,,
213,5/28/2024 9:45am,Suffolk Cooperative Library System,Library System,,,,Librarian II,,"$103,641.00 ",35,35,MLIS,5,,,
214,5/28/2024 9:46am,Suffolk Cooperative Library System,Library System,,,,Librarian II,,"$78,632.00 ",35,35,MLIS,5,,,
215,5/28/2024 9:46am,Suffolk Cooperative Library System,Library System,,,,Librarian I,,"$72,944.00 ",35,35,MLIS,0,,,
216,5/28/2024 9:47am,Suffolk Cooperative Library System,Library System,,,,Librarian II,,"$92,803.00 ",35,35,MLIS,0,,,
217,5/28/2024 9:48am,Suffolk Cooperative Library System,Library System,,,,Librarian II,,"$115,746.00 ",35,35,MLIS,0,,,
218,5/28/2024 9:48am,Suffolk Cooperative Library System,Library System,,,,Librarian I,,"$83,745.00 ",35,35,MLIS,0,,,
219,5/28/2024 9:49am,Suffolk Cooperative Library System,Library System,,,,Librarian I,,"$70,958.00 ",35,35,MLIS,0,,,
220,5/28/2024 9:50am,Suffolk Cooperative Library System,Library System,,,,Librarian III,,"$104,227.00 ",35,35,MLIS,3,,,
221,5/28/2024 9:51am,Suffolk Cooperative Library System,Library System,,,,Librarian I,,"$77,086.00 ",35,35,MLIS,0,,,
222,5/28/2024 9:52am,Suffolk Cooperative Library System,Library System,,,,Librarian II,,"$87,816.00 ",35,35,MLIS,0,,,
223,5/28/2024 9:52am,Suffolk Cooperative Library System,Library System,,,,Librarian III,,"$104,227.00 ",35,35,MLIS,12,,,
224,5/28/2024 9:54am,Suffolk Cooperative Library System,Library System,,,,Librarian I,,"$72,944.00 ",35,35,MLIS,0,,,
225,5/28/2024 9:54am,Suffolk Cooperative Library System,Library System,,,,Librarian I,,"$72,944.00 ",35,35,MLIS,0,,,
226,5/28/2024 9:55am,Suffolk Cooperative Library System,Library System,,,,Librarian II,,"$90,275.00 ",35,35,MLIS,5,,,
227,5/28/2024 9:56am,Suffolk Cooperative Library System,Library System,,,,Library Clerk,,"$47,891.00 ",35,35,High School Only,0,,,
228,5/28/2024 9:56am,Suffolk Cooperative Library System,Library System,,,,Senior Library Clerk,,"$90,317.00 ",35,35,High School Only,0,,,
229,5/28/2024 9:57am,Suffolk Cooperative Library System,Library System,,,,Senior Library Clerk,,"$52,137.00 ",35,35,High School Only,0,,,
230,5/28/2024 9:57am,Suffolk Cooperative Library System,Library System,,,,Library Clerk,,"$53,484.00 ",35,35,High School Only,0,,,
231,5/28/2024 9:58am,Suffolk Cooperative Library System,Library System,,,,Library Clerk,,"$47,891.00 ",35,35,High School Only,0,,,
232,5/28/2024 9:58am,Suffolk Cooperative Library System,Library System,,,,Library Clerk,,"$45,318.00 ",35,35,High School Only,0,,,
233,5/28/2024 10:00am,Suffolk Cooperative Library System,Library System,,,,Principal Library Clerk,,"$75,114.00 ",35,35,High School Only,12,,,
234,5/28/2024 10:00am,Suffolk Cooperative Library System,Library System,,,,Senior Account Clerk,,"$73,913.00 ",35,35,High School Only,0,,,
235,5/28/2024 10:01am,Suffolk Cooperative Library System,Library System,,,,Network & System Administrator II,,"$129,994.00 ",35,35,Other Masters,3,,,
236,5/28/2024 10:02am,Suffolk Cooperative Library System,Library System,,,,Library Clerk,,"$64,890.00 ",35,35,High School Only,0,,,
237,5/28/2024 10:04am,Suffolk Cooperative Library System,Library System,,,,Network & System Technician,,"$69,776.00 ",35,35,High School Only,0,,,
238,5/28/2024 10:04am,Suffolk Cooperative Library System,Library System,,,,Senior Library Clerk,,"$47,992.00 ",35,35,High School Only,0,,,
239,5/28/2024 10:05am,Suffolk Cooperative Library System,Library System,,,,Library Clerk,,"$41,714.00 ",35,35,High School Only,0,,,
240,5/28/2024 10:05am,Suffolk Cooperative Library System,Library System,,,,Library Clerk,,"$41,714.00 ",35,35,High School Only,0,,,
241,5/28/2024 10:06am,Suffolk Cooperative Library System,Library System,,,,Business Manager,,"$93,000.00 ",35,35,Other Masters,3,,,
242,5/28/2024 10:06am,Suffolk Cooperative Library System,Library System,,,,Senior Library Clerk,,"$76,745.00 ",35,35,High School Only,0,,,
243,5/28/2024 10:07am,Suffolk Cooperative Library System,Library System,,,,Library Clerk,,"$41,714.00 ",35,35,High School Only,0,,,
244,5/28/2024 10:08am,Suffolk Cooperative Library System,Library System,,,,Custodial Worker I,,"$43,667.00 ",40,40,High School Only,0,,,
245,5/28/2024 10:08am,Suffolk Cooperative Library System,Library System,,,,Custodial Worker II,,"$83,560.00 ",40,40,High School Only,0,,,
246,5/28/2024 10:09am,Suffolk Cooperative Library System,Library System,,,,Custodial Supervisor,,"$121,489.00 ",40,40,High School Only,5,,,
247,5/28/2024 10:10am,Suffolk Cooperative Library System,Library System,,,,Custodial Worker I,,"$44,890.00 ",40,40,High School Only,0,,,
250,5/28/2024 11:46am,Nassau Library System,Library System,,,,Library Director,,"$95,000.00 ",35,35,MLIS,10,,,
252,5/28/2024 11:55am,Nassau Library System,Library System,,,,Director - Public Library - Village,,"$81,000.00 ",35,35,MLIS,21,,,
253,5/28/2024 11:59am,Western Suffolk BOCES School Library System,Library System,,,,School media Specialist ,,"$147,000.00 ",40,40,MLIS,0,,,
255,5/28/2024 12:37pm,Suffolk Cooperative Library System,Library System,,,,Director,,"$120,000.00 ",35,35,"High School Only,Bachelors Only,MLIS,Other Masters",15,,,
256,5/28/2024 1:31pm,Suffolk Cooperative Library System,Library System,,,,Library Director,,"$115,763.00 ",35,35,MLIS,42,,,
257,5/28/2024 2:46pm,Nassau Library System,Library System,,,,Director,,"$165,000.00 ",35,35,MLIS,45,,,
259,5/28/2024 6:56pm,Suffolk Cooperative Library System,Library System,,,,P/T Adult Reference Librarian,,$27.50 ,14,0,MLIS,0,,,
260,5/29/2024 8:51am,Eastern Suffolk BOCES School Library System,Library System,,,,School LIbrarian,,"$140,000.00 ",35,35,"High School Only,Bachelors Only,MLIS,Other Masters",1,,,
151,5/13/2024 12:28pm,Copiague Memorial Public Library,Public Library,,CMPL Salary Survey 2024.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/tPv2JedSVAJUrqsQwxyWmQ/q5Jyx2jy4AE4AQMxIb1Wx6_YNGnmsNvOnhAPaFxueqDjz5dE3OHuBgtyyXMKkbnjBwS6Yii12MP2lYETht79mTDJfyjTndZxouQxrHQK0FEfUGSM7K4Y5NGkgf8lMyCsihnDXoeC3C6pkCVb3_CJSPBZAPrqk9_fm1G3dwpP4NU/4Z5chm8SQbSJpI3aJzrcXTmZRu2kxz-GTQnbll5uv_s),,,,,,,,,,,
152,5/13/2024 1:08pm,Mattituck - Laurel Library,Public Library,,MATT Salary Survey.xlsx (https://v5.airtableusercontent.com/v3/u/30/30/1720850400000/ZiRu5WpvtiAuyBZoSNYXfA/NG5lMNhTnpEUt__UVTS95cyEL7lkyir_-7NzuR0Mb_m0_K2pdVflHFg_BzoPyHObpi54_GR1fh6g6Sq19uPt5OnQImlzJ6EaJUC4v0N32Yk9D5Fq7bF4bhnnJDXBjAi7KXIn3JJs2aNr_cgcIaUPVI7gs8hTNMoSxqzga87Cq1o/tymhWdV0Kl7yQj6pt4hYU_gHwyIA4OW3dkNJ_ezuxD0),,,,,,,,,,,
